Date,Open,High,Low,Close,Volume
25-Jan-17,2015.01,2080.98,2015.01,2079.15,-
24-Jan-17,1994.53,2013.45,1985.66,2013.17,-
23-Jan-17,2004.04,2007.59,1991.36,1991.36,-
20-Jan-17,2015.31,2027.35,2006.01,2006.01,-
19-Jan-17,2005.60,2020.12,2005.49,2015.47,-
18-Jan-17,2018.57,2021.84,2005.65,2005.65,-
17-Jan-17,2026.40,2026.40,2012.61,2015.28,-
16-Jan-17,2013.32,2033.73,2002.09,2025.25,-
13-Jan-17,2023.01,2027.02,2007.24,2015.89,-
12-Jan-17,2029.68,2044.59,2015.98,2022.95,-
11-Jan-17,2024.89,2033.43,2010.45,2030.64,-
10-Jan-17,2007.40,2034.03,2007.40,2023.64,-
9-Jan-17,1999.15,2009.19,1991.08,2009.19,-
5-Jan-17,1994.72,2007.15,1986.53,1998.76,-
4-Jan-17,1991.97,2001.91,1981.29,1999.93,-
3-Jan-17,1961.73,1990.40,1961.73,1989.64,-
2-Jan-17,1947.54,1963.54,1937.24,1956.72,-
30-Dec-16,1948.89,1957.17,1945.23,1947.92,-
29-Dec-16,1934.69,1946.32,1931.44,1946.32,-
28-Dec-16,1935.38,1945.77,1924.02,1932.75,-
27-Dec-16,1933.10,1939.56,1930.21,1936.72,-
23-Dec-16,1942.49,1955.42,1927.03,1933.60,-
22-Dec-16,1927.70,1944.84,1914.23,1943.73,-
21-Dec-16,1941.74,1952.86,1925.43,1927.90,-
20-Dec-16,1929.47,1948.40,1929.47,1940.46,-
19-Dec-16,1915.46,1929.48,1893.02,1924.67,-
16-Dec-16,1913.05,1927.90,1903.57,1918.54,-
15-Dec-16,1931.36,1932.39,1909.35,1911.16,-
